# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     52.78     -44.81       2.88       0.00       0.00       0.00       0.33       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m25_2.sdf'                 'CC 02201'
     50.58     -45.08       2.00       0.00       0.00       0.00       0.25       0.00    2.999  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m26_3.sdf'                 'CC 02209'
     48.91     -43.42       1.00       0.88       0.00       0.00       0.08       0.00    2.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m27_2.sdf'                 'CC 02213'
     38.45     -29.57       3.00       0.00       0.00       0.00       0.06       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m28_1.sdf'                 'CC 03609'
     54.13     -45.58       2.86       0.00       0.00       0.00       0.03       0.02    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m29_2.sdf'                 'CC 03801'
     53.14     -44.22       2.98       0.00       0.00       0.00       0.00       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m30_1.sdf'                 'CC 04401'
     54.41     -45.49       2.99       0.00       0.00       0.00       0.02       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m31_3.sdf'                 'CC 04409'
     51.45     -42.59       3.00       0.00       0.00       0.00       0.07       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m32_3.sdf'                 'CC 04501'
     48.34     -42.11       2.33       0.00       0.00       0.00       0.37       0.00    1.001  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m33_4.sdf'                 'CC 04509'
     54.48     -45.50       3.00       0.00       0.00       0.00       0.60       1.19    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m34_1.sdf'                 'CC 04601'
     51.34     -42.44       3.00       0.00       0.00       0.00       0.05       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m35_3.sdf'                 'CC 04701'
     48.97     -40.09       2.99       0.00       0.00       0.00       0.05       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m36_1.sdf'                 'CC 05601'
     46.83     -38.79       2.70       0.00       0.00       0.00       0.04       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m37_1.sdf'                 'CC 05609'
     44.75     -42.16       0.94       0.00       0.00       0.00       0.12       0.00    1.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m38_2.sdf'                 'CC 05623'
     46.08     -40.10       2.00       0.00       0.00       0.00       0.01       0.00    2.000  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m39_3.sdf'                 'CC 05646'
     41.66     -35.71       1.98       0.00       0.00       0.00       0.00       0.00    0.999  '//ad.ucl.ac.uk/homec/rmhaxuc/DesktopSettings/Desktop/virtual screening -tutorial-20200214/gold2\gold_soln_may_3d_m40_2.sdf'                 'CC 05914'
