row ID,Cluster,SlogP,SMR,LabuteASA,TPSA,AMW,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3
Row1499,Non-binders,2.8382,65.7655,94.06299388,44.62,212.252,2,3,0,3,16,28,0,0,2,2,0,0,0,0,0,2,0,0,0,8.667929883,4.982121492,3.294843418,2.107827903,1.285740261,4.982121492,3.294843418,2.107827903,1.285740261,-2.29,10.23536208,4.978651941,2.604363309
Row1500,Non-binders,3.0647,69.6887,107.5869707,29.1,249.329,1,1,1,3,18,38,0,0,2,1,1,1,0,0,0,1,1,1,0.533333333,10.62271158,6.776752083,5.002427512,3.602125782,2.490225406,6.776752083,5.002427512,3.602125782,2.490225406,-1.38,13.06114559,6.525151111,3.827238136
Row1501,Non-binders,1.4803,65.1237,99.60707567,49.41,230.267,1,2,2,4,17,31,0,0,3,1,0,2,0,0,2,1,0,0,0.384615385,9.74683784,5.887050362,4.649993359,3.328644121,2.754661333,5.887050362,4.649993359,3.328644121,2.754661333,-1.84,10.32264854,3.583435177,1.601303156
Row1502,Non-binders,2.62352,58.5723,92.43646645,59.67,220.224,1,4,0,4,16,28,0,0,2,2,0,0,1,0,0,1,0,0,0.25,9.111116056,5.02990223,3.426931003,2.392673448,1.672939849,5.02990223,3.426931003,2.392673448,1.672939849,-1.97,10.54456192,3.885497878,1.520033296
Row1503,Non-binders,1.7588,56.2862,90.03176737,63.32,209.289,2,2,0,3,15,34,2,2,4,0,4,4,0,0,0,0,4,4,0.916666667,9.037260162,5.994322945,6.393914018,4.753732936,5.05346422,5.994322945,6.393914018,4.753732936,5.05346422,-0.57,9.641469452,2.757824686,1.480111483
Row1504,Non-binders,-0.738,36.944,66.71094357,111.46,170.128,3,5,0,7,12,18,0,0,1,1,0,0,1,0,0,0,0,0,0.2,5.928773318,3.02613894,1.989962999,1.181057786,0.635808159,3.02613894,1.989962999,1.181057786,0.635808159,-1.92,8.179206349,3.464918965,1.781046233
Row1505,Non-binders,-0.5411,52.1565,83.47614888,73.46,208.173,1,6,0,6,15,23,0,0,2,2,0,0,1,0,0,1,0,0,0.111111111,7.875786735,4.170848227,2.887774633,2.071072501,1.392525776,4.170848227,2.887774633,2.071072501,1.392525776,-2.24,9.320269064,3.15920033,1.183952543
Row1506,Non-binders,2.8736,63.8191,90.57922423,54.7,215.281,2,3,0,4,15,24,0,0,3,3,0,0,2,0,0,1,0,0,0,8.713410351,5.49874362,4.208598756,3.061035428,2.257856237,4.619090809,3.318917789,2.3871448,1.694755658,-1.81,8.494477279,3.09991135,1.301131898
Row1507,Non-binders,0.5666,45.1608,75.91823316,64.35,184.195,1,4,0,5,13,25,0,0,1,1,0,0,1,0,0,0,0,0,0.5,7.2186153,4.118662546,2.606642273,1.505469133,0.871496452,4.118662546,2.606642273,1.505469133,0.871496452,-1.52,9.567108014,5.183202458,4.147374019
Row1508,Non-binders,2.54272,70.9488,104.2641184,23.47,233.355,1,2,0,2,17,40,3,3,2,1,1,1,0,1,1,1,0,0,0.6,11.27274237,6.430039899,5.684048647,4.287607953,2.814874594,6.430039899,5.684048647,4.287607953,2.814874594,-0.86,12.59312881,4.43009998,2.242794963
Row1509,Non-binders,2.34232,67.2047,102.9598011,54.6,248.307,1,4,1,5,17,29,0,0,2,2,0,0,2,0,0,0,0,0,0.166666667,10.15966344,6.02546466,4.529978737,2.933463162,2.00512529,5.145811848,3.497733555,2.057075797,1.301635463,-1.88,11.60088468,5.448971534,3.565211752
Row1510,Non-binders,2.3299,64.8738,101.4839074,40.54,241.718,1,2,0,4,16,32,1,1,2,1,1,1,0,1,1,1,0,0,0.416666667,9.819949093,5.306419236,3.894533274,2.855028092,2.144701079,5.306419236,3.894533274,2.855028092,2.144701079,-1.06,13.0069344,5.870580105,2.741593024
Row1511,Non-binders,2.603,54.1033,86.57413585,46.53,212.632,1,2,0,4,14,23,0,0,1,1,0,0,0,0,0,1,0,0,0.1,8.121218235,4.292007385,2.957233162,1.830887729,1.134727831,3.914042912,2.550033036,1.535518164,0.899630728,-1.48,10.5998722,4.671580885,2.502246036
Row1512,Non-binders,0.0238,68.1593,105.1377176,87.46,248.286,3,3,3,6,18,34,0,0,2,1,1,1,0,1,1,1,0,0,0.333333333,9.978888647,5.837442805,4.062128708,2.817853411,1.827897127,5.837442805,4.062128708,2.817853411,1.827897127,-2.24,12.2230869,5.394841751,2.708582195
Row1513,Non-binders,1.6407,48.4622,75.44376994,45.75,172.187,1,2,0,3,13,21,0,0,2,2,0,0,1,0,0,1,0,0,0,6.89691377,3.958555796,2.660432339,1.778825634,1.125085693,3.958555796,2.660432339,1.778825634,1.125085693,-1.9,7.733836487,3.226654064,1.488423441
Row1514,Non-binders,2.1988,68.4666,100.2696565,55.12,226.279,2,2,1,3,17,31,0,0,2,2,0,0,0,0,0,2,0,0,0.071428571,9.388857764,5.431956869,3.790284563,2.468766586,1.514758706,5.431956869,3.790284563,2.468766586,1.514758706,-2.29,11.2030226,5.163787455,3.078972104
Row1515,Non-binders,2.98204,70.9304,99.30380307,51.8,223.279,1,3,0,3,17,30,0,0,3,3,0,0,2,0,0,1,0,0,0.142857143,9.858528806,5.587802864,4.321769435,3.015504755,2.278499253,5.587802864,4.321769435,3.015504755,2.278499253,-2.16,10.02355798,3.41728436,1.429552969
Row1516,Non-binders,3.0111,56.7373,87.49425095,50.44,214.286,1,3,0,4,14,28,0,0,1,1,0,0,1,0,0,0,0,0,0.5,8.971582711,5.789373815,4.082422547,2.824978719,1.983061005,4.634673277,2.977250832,1.758986507,0.989589085,-0.9,11.17633588,5.751479495,3.456277281
Row1517,Non-binders,1.9977,71.6328,107.2142213,47.28,248.326,1,4,0,4,18,38,0,0,2,2,0,0,1,0,0,1,0,0,0.5,10.80193084,6.492243433,4.192467076,2.955459662,2.103100243,6.492243433,4.192467076,2.955459662,2.103100243,-1.39,13.05138878,6.517817714,2.88828342
Row1518,Non-binders,2.33194,69.504,105.3288816,43.08,238.294,0,4,0,4,18,32,0,0,3,3,0,0,2,0,0,1,0,0,0.214285714,10.46006278,5.960388237,4.441113539,2.867210238,2.0610465,5.960388237,4.441113539,2.867210238,2.0610465,-2.23,10.89476403,4.217154758,1.969035805
